feature,importance
sentiment_polarity,0.0911315563338309
avg_word_length,0.08255642353986829
sentiment_subjectivity,0.042424676414463
word_count,0.04210370605382088
char_count,0.03324615279873111
adult_keywords_count,0.03032843176667872
violence_keywords_count,0.02331161455624219
tfidf_438,0.018399829179372128
tfidf_369,0.012482282284095578
tfidf_448,0.01071875313007648
tfidf_379,0.010555262403872527
tfidf_95,0.01018630888733154
tfidf_148,0.010047030656936217
tfidf_178,0.009593459742384645
tfidf_305,0.00877382773667134
tfidf_147,0.008764489713141928
tfidf_9,0.008230385769765503
tfidf_340,0.007695155791032746
tfidf_29,0.007221494025513205
tfidf_339,0.007172739336506965
tfidf_415,0.007079960446979826
tfidf_155,0.006845179011856087
tfidf_490,0.006836362579353323
tfidf_439,0.0068300558332841255
tfidf_243,0.006712197589138433
tfidf_392,0.006571269286771704
tfidf_108,0.006422499610166518
tfidf_255,0.006349320638274675
tfidf_401,0.006338822589617242
tfidf_190,0.006261060364268629
tfidf_64,0.00623946468492957
tfidf_447,0.006137371139615196
tfidf_68,0.006040619763610669
tfidf_426,0.005766377781992285
tfidf_23,0.005744063729880202
tfidf_30,0.005673756981162312
tfidf_431,0.0056712306166643465
tfidf_388,0.005638259490341784
tfidf_263,0.005538012663088146
tfidf_69,0.005459908871990739
tfidf_119,0.0053561787249522845
tfidf_257,0.005344181780060972
tfidf_171,0.005275316551636119
tfidf_489,0.005265116046086876
tfidf_182,0.005230391608862774
tfidf_156,0.005052986420639623
tfidf_337,0.005052047186602982
tfidf_425,0.004545816638389592
tfidf_477,0.004513576543212529
tfidf_446,0.00450443777676787
tfidf_436,0.004320489072698508
tfidf_172,0.004281290184866066
tfidf_8,0.0042448019178297
tfidf_13,0.004140291479643315
tfidf_453,0.0040758984395604415
tfidf_249,0.004028189278278135
tfidf_204,0.003984581054252556
tfidf_193,0.003928459828230579
tfidf_363,0.0037800727595785843
tfidf_485,0.003752235091263814
tfidf_441,0.0037137089027384756
tfidf_258,0.0037097593337967233
tfidf_336,0.0036801014874265777
tfidf_12,0.003621591625581114
tfidf_191,0.0034957600819599307
tfidf_235,0.0034829384912548876
tfidf_256,0.0034004357206685702
tfidf_461,0.003393878209314502
tfidf_26,0.003304760855098757
tfidf_25,0.003219900681500774
tfidf_390,0.003207997505139605
tfidf_75,0.0031984467484627056
tfidf_83,0.003193039609693943
tfidf_346,0.003112171813310208
tfidf_478,0.00297082102428292
tfidf_274,0.002955588740080005
tfidf_386,0.00289163746890727
tfidf_403,0.0028012633095513555
tfidf_38,0.002783214774940156
tfidf_435,0.002758587630055304
tfidf_262,0.002718062994362147
tfidf_120,0.002715083304020224
tfidf_328,0.0027006854908960052
tfidf_259,0.0026030728145489315
tfidf_385,0.0025977277339510824
tfidf_432,0.002562803704044182
tfidf_149,0.002478166644993174
tfidf_341,0.002376179776973973
tfidf_170,0.0023725339108876756
tfidf_183,0.0023356871276857833
tfidf_185,0.002289990078078785
tfidf_264,0.0022701285297087766
tfidf_214,0.002255738670041204
tfidf_272,0.0022428174601915414
tfidf_192,0.002223605496835727
tfidf_462,0.002206500507775397
tfidf_66,0.0022054825434251455
tfidf_212,0.0022020553314048984
tfidf_404,0.002183458626490799
tfidf_150,0.0021806021132730227
