Model,Accuracy,Precision,Recall,F1-Score,CV_F1_Mean,CV_F1_Std,ROC-AUC,Best_Params
LogisticRegression,1.0,1.0,1.0,1.0,1.0,0.0,1.0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}"
SVM,1.0,1.0,1.0,1.0,0.9959183673469388,0.008163265306122458,1.0,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}"
RandomForest,1.0,1.0,1.0,1.0,1.0,0.0,1.0,"{'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
NaiveBayes,1.0,1.0,1.0,1.0,0.9866666666666667,0.02666666666666666,1.0,{'var_smoothing': 1e-09}
Ensemble,1.0,1.0,1.0,1.0,,,1.0,Voting(RF+GB+SVM)
KNN,1.0,1.0,1.0,1.0,0.9841536614645859,0.022896150398813243,1.0,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
GradientBoosting,0.9833333333333333,1.0,0.9666666666666667,0.9830508474576272,0.9829673960240897,0.016180221454522345,0.9999999999999999,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}"
DecisionTree,0.9833333333333333,1.0,0.9666666666666667,0.9830508474576272,0.9874077290490664,0.010286435167927786,0.9833333333333334,"{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}"
